#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
FSBL2071_hybracter.fasta,chromosome00001,958163,962410,+,fdeC,1-4251/4251,========/======,01-Mar,99.93,97.44,vfdb,YP_002390132,(fdeC) adhesin FdeC [FdeC (VF0506)] [Escherichia coli O45:K1:H7 str. S88],
FSBL2071_hybracter.fasta,chromosome00001,1236932,1237593,-,entD,1-662/771,=============..,0/0,85.86,97.73,vfdb,NP_752599,(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,1237618,1239858,-,fepA,1-2241/2241,===============,0/0,100,98.8,vfdb,NP_752600,(fepA) ferrienterobactin outer membrane transporter [Enterobactin (VF0228)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,1240101,1241303,+,fes,1-1203/1203,===============,0/0,100,99.17,vfdb,NP_752602,(fes) enterobactin/ferric enterobactin esterase [enterobactin (IA019)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,1241521,1245374,+,entF,1-3854/3882,===============,0/0,99.28,97.77,vfdb,NP_752604,(entF) enterobactin synthase multienzyme complex component ATP-dependent [Enterobactin (VF0228)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,1246748,1247563,-,fepC,1-816/816,===============,0/0,100,99.14,vfdb,NP_752606,(fepC) ferrienterobactin ABC transporter ATPase [Enterobactin (VF0228)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,1247560,1248552,-,fepG,1-993/993,===============,0/0,100,97.68,vfdb,NP_752607,(fepG) iron-enterobactin ABC transporter permease [Enterobactin (VF0228)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,1248549,1249565,-,fepD,1-1017/1017,===============,0/0,100,97.84,vfdb,NP_752608,(fepD) ferrienterobactin ABC transporter permease [Enterobactin (VF0228)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,1249664,1250914,+,entS,1-1251/1251,===============,0/0,100,98.24,vfdb,NP_752609,(entS) enterobactin exporter iron-regulated [enterobactin (IA019)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,1250918,1251874,-,fepB,1-957/957,===============,0/0,100,99.69,vfdb,NP_752610,(fepB) ferrienterobactin ABC transporter periplasmic binding protein [Enterobactin (VF0228)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,1252051,1253238,+,entC,1-1188/1188,===============,0/0,100,99.41,vfdb,NP_752611,(entC) isochorismate synthase 1 [Enterobactin (VF0228)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,1253248,1254858,+,entE,1-1611/1611,===============,0/0,100,99.13,vfdb,NP_752612,(entE) 23-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,1254872,1255729,+,entB,1-858/858,===============,0/0,100,99.53,vfdb,NP_752613,(entB) isochorismatase [Enterobactin (VF0228)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,1255729,1256475,+,entA,1-747/747,===============,0/0,100,98.13,vfdb,NP_752614,(entA) 23-dihydro-23-dihydroxybenzoate dehydrogenase [Enterobactin (VF0228)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,1631426,1632478,-,ompA,1-1041/1041,========/======,01-Dec,100,95.82,vfdb,AAF37887,(ompA) outer membrane protein A [OmpA (VF0236)] [Escherichia coli O18:K1:H7 str. RS218],
FSBL2071_hybracter.fasta,chromosome00001,2629175,2630479,-,ybtS,1-1305/1305,===============,0/0,100,99.85,vfdb,NP_405477,(ybtS) salicylate synthase Irp9 [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2071_hybracter.fasta,chromosome00001,2630507,2631787,-,ybtX,1-1281/1281,===============,0/0,100,99.45,vfdb,NP_405476,(ybtX) putative signal transducer [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2071_hybracter.fasta,chromosome00001,2631780,2633582,-,ybtQ,1-1803/1803,===============,0/0,100,99.56,vfdb,NP_405475,(ybtQ) inner membrane ABC-transporter YbtQ [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2071_hybracter.fasta,chromosome00001,2633569,2635371,-,ybtP,1-1803/1803,===============,0/0,100,99.56,vfdb,NP_405474,(ybtP) lipoprotein inner membrane ABC-transporter [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2071_hybracter.fasta,chromosome00001,2635538,2636497,+,ybtA,1-960/960,===============,0/0,100,99.48,vfdb,NP_405473,(ybtA) transcriptional regulator YbtA [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2071_hybracter.fasta,chromosome00001,2636688,2642795,+,irp2,1-6108/6108,===============,0/0,100,99.51,vfdb,NP_405472,(irp2) yersiniabactin biosynthetic protein Irp2 [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2071_hybracter.fasta,chromosome00001,2642883,2652374,+,irp1,1-9492/9492,===============,0/0,100,99.7,vfdb,NP_405471,(irp1) yersiniabactin biosynthetic protein Irp1 [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2071_hybracter.fasta,chromosome00001,2652371,2653471,+,ybtU,1-1101/1101,===============,0/0,100,99.64,vfdb,NP_405470,(ybtU) yersiniabactin biosynthetic protein YbtU [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2071_hybracter.fasta,chromosome00001,2653468,2654271,+,ybtT,1-804/804,===============,0/0,100,99.5,vfdb,NP_405469,(ybtT) yersiniabactin biosynthetic protein YbtT [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2071_hybracter.fasta,chromosome00001,2654275,2655852,+,ybtE,1-1578/1578,===============,0/0,100,99.75,vfdb,NP_405468,(ybtE) yersiniabactin siderophore biosynthetic protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2071_hybracter.fasta,chromosome00001,2655984,2658005,+,fyuA,1-2022/2022,===============,0/0,100,99.9,vfdb,NP_405467,(fyuA) pesticin/yersiniabactin receptor protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2071_hybracter.fasta,chromosome00001,3846205,3846756,-,papX,1-552/552,===============,0/0,100,97.64,vfdb,NP_755457,(papX) PapX protein regulates flagellum synthesis to repress motility [P fimbriae (CVF425)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,3848530,3848843,-,papB,1-315/315,========/======,01-Jan,99.68,98.41,vfdb,,(papB) regulatory protein PapB [P fimbriae (VF0220)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,3849249,3849482,+,papI,1-234/234,===============,0/0,100,94.87,vfdb,NP_755468,(papI) regulatory protein PapI [P fimbriae (VF0220)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,3860219,3862000,+,iucA,1-1782/1782,===============,0/0,100,99.83,vfdb,NP_709454,(iucA) aerobactin synthesis protein IucA [Aerobactin (VF0123)] [Shigella flexneri 2a str. 301],
FSBL2071_hybracter.fasta,chromosome00001,3862001,3862948,+,iucB,1-948/948,===============,0/0,100,99.79,vfdb,NP_709455,(iucB) aerobactin synthesis protein IucB [Aerobactin (VF0123)] [Shigella flexneri 2a str. 301],
FSBL2071_hybracter.fasta,chromosome00001,3862948,3864690,+,iucC,1-1743/1743,===============,0/0,100,98.11,vfdb,NP_755500,(iucC) aerobactin siderophore biosynthesis protein IucC [Aerobactin (VF0229)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,3864687,3866008,+,iucD,1-1323/1338,========/======,01-Jan,98.8,96.22,vfdb,NP_755499,(iucD) L-lysine 6-monooxygenase IucD [Aerobactin (VF0229)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,3869179,3873078,+,sat,1-3900/3900,===============,0/0,100,99.51,vfdb,NP_755494,(sat) Aecreted auto transpoter toxin [Sat (VF0231)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,3932236,3933912,+,kpsD,1-1677/1677,===============,0/0,100,99.52,vfdb,AAA21682,(kpsD) KpsD [K1 capsule (VF0239)] [Escherichia coli O18:K1:H7 str. RS218],
FSBL2071_hybracter.fasta,chromosome00001,3944956,3945732,-,kpsM,1-777/777,===============,0/0,100,91.12,vfdb,AAA24046,(kpsM) KpsM [K1 capsule (VF0239)] [Escherichia coli O18:K1:H7 str. RS218],
FSBL2071_hybracter.fasta,chromosome00001,3946890,3947299,-,gspM,1-410/423,===============,0/0,96.93,93.42,vfdb,YP_404609,(gspM) general secretion pathway protein M [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL2071_hybracter.fasta,chromosome00001,3947415,3948275,-,gspL,1-861/861,===============,0/0,100,93.26,vfdb,YP_404608,(gspL) general secretion pathway protein L [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL2071_hybracter.fasta,chromosome00001,3948590,3949567,-,gspK,1-978/978,===============,0/0,100,94.48,vfdb,YP_404607,(gspK) general secretion pathway protein K [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL2071_hybracter.fasta,chromosome00001,3949564,3950133,-,gspJ,1-570/570,===============,0/0,100,94.39,vfdb,YP_404606,(gspJ) general secretion pathway protein J [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL2071_hybracter.fasta,chromosome00001,3950166,3950537,-,gspI,1-372/372,===============,0/0,100,94.62,vfdb,YP_404605,(gspI) general secretion pathway protein I [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL2071_hybracter.fasta,chromosome00001,3950534,3951064,-,gspH,1-531/531,===============,0/0,100,96.61,vfdb,YP_404604,(gspH) general secretion pathway protein H [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL2071_hybracter.fasta,chromosome00001,3951101,3951556,-,gspG,1-456/456,===============,0/0,100,95.83,vfdb,YP_404603,(gspG) general secretion pathway protein G [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL2071_hybracter.fasta,chromosome00001,3951597,3952796,-,gspF,1-1200/1200,===============,0/0,100,94.17,vfdb,YP_404602,(gspF) general secretion pathway protein F [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL2071_hybracter.fasta,chromosome00001,3952796,3954289,-,gspE,1-1494/1494,===============,0/0,100,94.85,vfdb,YP_404601,(gspE) general secretion pathway protein E [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL2071_hybracter.fasta,chromosome00001,3954289,3956139,-,gspD,1-1836/1836,========/======,Jan-15,100,96.06,vfdb,YP_404600,(gspD) general secretion pathway protein D [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL2071_hybracter.fasta,chromosome00001,3956379,3957209,-,gspC,1-831/831,===============,0/0,100,94.58,vfdb,YP_404599,(gspC) general secretion pathway protein C [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL2071_hybracter.fasta,chromosome00001,4503309,4504337,-,chuS,1-1029/1029,===============,0/0,100,99.03,vfdb,NP_756169,(chuS) heme oxygenase ChuS [Chu (VF0227)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,4504386,4506332,-,chuA,1-1947/1947,===============,0/0,100,99.54,vfdb,NP_756170,(chuA) Outer membrane heme/hemoglobin receptor ChuA [Chu (VF0227)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,4506975,4507967,+,chuT,1-993/993,===============,0/0,100,99.8,vfdb,NP_756175,(chuT) periplasmic heme-binding protein ChuT [Chu (VF0227)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,4507987,4509324,+,chuW,1-1338/1338,===============,0/0,100,99.25,vfdb,NP_756176,(chuW) Putative oxygen independent coproporphyrinogen III oxidase [Chu (VF0227)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,4509337,4509831,+,chuX,1-495/495,===============,0/0,100,100,vfdb,NP_756177,(chuX) putative heme-binding protein ChuX [Chu (VF0227)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,4509831,4510454,+,chuY,1-624/624,===============,0/0,100,98.4,vfdb,NP_756178,(chuY) ChuY [Chu (VF0227)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,4510503,4511495,+,chuU,1-993/993,===============,0/0,100,99.3,vfdb,NP_756179,(chuU) heme permease protein ChuU [Chu (VF0227)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,4511462,4512262,+,chuV,1-801/801,===============,0/0,100,99.75,vfdb,NP_756180,(chuV) ATP-binding hydrophilic protein ChuV [Chu (VF0227)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,4719011,4719570,-,draE2,3-561/561,========/======,01-Jan,99.64,99.64,vfdb,AAB65153,(draE2) Dr-II structural adhesin precursor [Afa/Dr family (VF0212)] [Escherichia coli EC7372],
FSBL2071_hybracter.fasta,chromosome00001,4719757,4719930,-,draP,1-174/174,===============,0/0,100,99.42,vfdb,AAK16479,(draP) DraP [Dr adhesins (VF0223)] [Escherichia coli O75:K5:H- str. IH11128],
FSBL2071_hybracter.fasta,chromosome00001,4720309,4720752,-,draD,1-444/444,===============,0/0,100,99.78,vfdb,AAK16478,(draD) DraD periplasmic protein [Dr adhesins (VF0223)] [Escherichia coli O75:K5:H- str. IH11128],
FSBL2071_hybracter.fasta,chromosome00001,4720768,4723350,-,afaC-I,1-2583/2583,===============,0/0,100,98.99,vfdb,CAW30799,(afaC-I) usher AfaC [Afimbrial adhesin AFA-I mannose-resistant adhesin (AI010)] [Escherichia coli O25b:H4 str. FV9863],
FSBL2071_hybracter.fasta,chromosome00001,4723443,4724187,-,afaB-I,1-744/744,========/======,01-Jan,100,98.25,vfdb,CAW30798,(afaB-I) chaperone AfaB [Afimbrial adhesin AFA-I mannose-resistant adhesin (AI010)] [Escherichia coli O25b:H4 str. FV9863],
FSBL2071_hybracter.fasta,chromosome00001,4724469,4724774,-,draA,1-306/306,===============,0/0,100,100,vfdb,AAK16475,(draA) cytoplamic protein DraA [Dr adhesins (VF0223)] [Escherichia coli O75:K5:H- str. IH11128],
FSBL2071_hybracter.fasta,chromosome00001,4725578,4725805,+,daaF,1-228/228,===============,0/0,100,100,vfdb,AAA23662,(daaF) DaaF protein [F1845 fimbrial adhesin (AI016)] [Escherichia coli str. C1845],
FSBL2071_hybracter.fasta,chromosome00001,4899162,4900590,-,aslA,1-1428/1428,========/======,01-Jan,100,98.18,vfdb,AAG10151,(aslA) putative arylsulfatase [AslA (VF0238)] [Escherichia coli O18:K1:H7 str. RS218],
FSBL2071_hybracter.fasta,plasmid00001,17580,18718,-,senB,2-1140/1140,===============,0/0,99.91,99.74,vfdb,YP_406304,(senB) enterotoxin [ShET2 (VF0258)] [Shigella flexneri 2a str. 301],
FSBL2111_hybracter.fasta,chromosome00001,1890454,1892475,-,fyuA,1-2022/2022,===============,0/0,100,99.95,vfdb,NP_405467,(fyuA) pesticin/yersiniabactin receptor protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2111_hybracter.fasta,chromosome00001,1892606,1894183,-,ybtE,1-1578/1578,===============,0/0,100,99.81,vfdb,NP_405468,(ybtE) yersiniabactin siderophore biosynthetic protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2111_hybracter.fasta,chromosome00001,1894187,1894990,-,ybtT,1-804/804,===============,0/0,100,99.75,vfdb,NP_405469,(ybtT) yersiniabactin biosynthetic protein YbtT [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2111_hybracter.fasta,chromosome00001,1894987,1896087,-,ybtU,1-1101/1101,===============,0/0,100,99.73,vfdb,NP_405470,(ybtU) yersiniabactin biosynthetic protein YbtU [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2111_hybracter.fasta,chromosome00001,1896084,1905575,-,irp1,1-9492/9492,===============,0/0,100,99.84,vfdb,NP_405471,(irp1) yersiniabactin biosynthetic protein Irp1 [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2111_hybracter.fasta,chromosome00001,1905663,1911770,-,irp2,1-6108/6108,===============,0/0,100,99.75,vfdb,NP_405472,(irp2) yersiniabactin biosynthetic protein Irp2 [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2111_hybracter.fasta,chromosome00001,1911961,1912920,-,ybtA,1-960/960,===============,0/0,100,99.79,vfdb,NP_405473,(ybtA) transcriptional regulator YbtA [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2111_hybracter.fasta,chromosome00001,1913087,1914889,+,ybtP,1-1803/1803,===============,0/0,100,99.72,vfdb,NP_405474,(ybtP) lipoprotein inner membrane ABC-transporter [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2111_hybracter.fasta,chromosome00001,1914876,1916678,+,ybtQ,1-1803/1803,===============,0/0,100,99.89,vfdb,NP_405475,(ybtQ) inner membrane ABC-transporter YbtQ [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2111_hybracter.fasta,chromosome00001,1916671,1917951,+,ybtX,1-1281/1281,===============,0/0,100,97.74,vfdb,NP_405476,(ybtX) putative signal transducer [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2111_hybracter.fasta,chromosome00001,1917979,1919283,+,ybtS,1-1305/1305,===============,0/0,100,97.62,vfdb,NP_405477,(ybtS) salicylate synthase Irp9 [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2111_hybracter.fasta,chromosome00001,4309274,4309857,-,yagZ/ecpA,1-584/588,===============,0/0,99.32,90.07,vfdb,NP_286010,(yagZ/ecpA) E. coli common pilus structural subunit EcpA [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933],
FSBL2112_hybracter.fasta,chromosome00001,1890454,1892475,-,fyuA,1-2022/2022,===============,0/0,100,99.95,vfdb,NP_405467,(fyuA) pesticin/yersiniabactin receptor protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2112_hybracter.fasta,chromosome00001,1892606,1894183,-,ybtE,1-1578/1578,===============,0/0,100,99.81,vfdb,NP_405468,(ybtE) yersiniabactin siderophore biosynthetic protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2112_hybracter.fasta,chromosome00001,1894187,1894990,-,ybtT,1-804/804,===============,0/0,100,99.75,vfdb,NP_405469,(ybtT) yersiniabactin biosynthetic protein YbtT [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2112_hybracter.fasta,chromosome00001,1894987,1896087,-,ybtU,1-1101/1101,===============,0/0,100,99.73,vfdb,NP_405470,(ybtU) yersiniabactin biosynthetic protein YbtU [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2112_hybracter.fasta,chromosome00001,1896084,1905575,-,irp1,1-9492/9492,===============,0/0,100,99.84,vfdb,NP_405471,(irp1) yersiniabactin biosynthetic protein Irp1 [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2112_hybracter.fasta,chromosome00001,1905663,1911770,-,irp2,1-6108/6108,===============,0/0,100,99.75,vfdb,NP_405472,(irp2) yersiniabactin biosynthetic protein Irp2 [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2112_hybracter.fasta,chromosome00001,1911961,1912920,-,ybtA,1-960/960,===============,0/0,100,99.79,vfdb,NP_405473,(ybtA) transcriptional regulator YbtA [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2112_hybracter.fasta,chromosome00001,1913087,1914889,+,ybtP,1-1803/1803,===============,0/0,100,99.72,vfdb,NP_405474,(ybtP) lipoprotein inner membrane ABC-transporter [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2112_hybracter.fasta,chromosome00001,1914876,1916678,+,ybtQ,1-1803/1803,===============,0/0,100,99.89,vfdb,NP_405475,(ybtQ) inner membrane ABC-transporter YbtQ [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2112_hybracter.fasta,chromosome00001,1916671,1917951,+,ybtX,1-1281/1281,===============,0/0,100,97.74,vfdb,NP_405476,(ybtX) putative signal transducer [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2112_hybracter.fasta,chromosome00001,1917979,1919283,+,ybtS,1-1305/1305,===============,0/0,100,97.62,vfdb,NP_405477,(ybtS) salicylate synthase Irp9 [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2112_hybracter.fasta,chromosome00001,4309274,4309857,-,yagZ/ecpA,1-584/588,===============,0/0,99.32,90.07,vfdb,NP_286010,(yagZ/ecpA) E. coli common pilus structural subunit EcpA [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933],
FSBL2130_hybracter.fasta,chromosome00001,1798723,1800744,-,fyuA,1-2022/2022,===============,0/0,100,99.95,vfdb,NP_405467,(fyuA) pesticin/yersiniabactin receptor protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2130_hybracter.fasta,chromosome00001,1800875,1802452,-,ybtE,1-1578/1578,===============,0/0,100,99.81,vfdb,NP_405468,(ybtE) yersiniabactin siderophore biosynthetic protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2130_hybracter.fasta,chromosome00001,1802456,1803259,-,ybtT,1-804/804,===============,0/0,100,99.75,vfdb,NP_405469,(ybtT) yersiniabactin biosynthetic protein YbtT [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2130_hybracter.fasta,chromosome00001,1803256,1804356,-,ybtU,1-1101/1101,===============,0/0,100,99.64,vfdb,NP_405470,(ybtU) yersiniabactin biosynthetic protein YbtU [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2130_hybracter.fasta,chromosome00001,1804353,1813844,-,irp1,1-9492/9492,===============,0/0,100,99.81,vfdb,NP_405471,(irp1) yersiniabactin biosynthetic protein Irp1 [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2130_hybracter.fasta,chromosome00001,1813932,1820039,-,irp2,1-6108/6108,===============,0/0,100,99.79,vfdb,NP_405472,(irp2) yersiniabactin biosynthetic protein Irp2 [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2130_hybracter.fasta,chromosome00001,1820230,1821189,-,ybtA,1-960/960,===============,0/0,100,99.9,vfdb,NP_405473,(ybtA) transcriptional regulator YbtA [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2130_hybracter.fasta,chromosome00001,1821356,1823158,+,ybtP,1-1803/1803,===============,0/0,100,99.72,vfdb,NP_405474,(ybtP) lipoprotein inner membrane ABC-transporter [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2130_hybracter.fasta,chromosome00001,1823145,1824947,+,ybtQ,1-1803/1803,===============,0/0,100,99.89,vfdb,NP_405475,(ybtQ) inner membrane ABC-transporter YbtQ [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2130_hybracter.fasta,chromosome00001,1824940,1826220,+,ybtX,1-1281/1281,===============,0/0,100,97.66,vfdb,NP_405476,(ybtX) putative signal transducer [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2130_hybracter.fasta,chromosome00001,1826248,1827552,+,ybtS,1-1305/1305,===============,0/0,100,97.55,vfdb,NP_405477,(ybtS) salicylate synthase Irp9 [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL2130_hybracter.fasta,chromosome00001,4166504,4167087,-,yagZ/ecpA,1-584/588,===============,0/0,99.32,90.07,vfdb,NP_286010,(yagZ/ecpA) E. coli common pilus structural subunit EcpA [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933],
FSBL2240_hybracter.fasta,chromosome00001,238795,239595,-,chuV,1-801/801,===============,0/0,100,99.75,vfdb,NP_756180,(chuV) ATP-binding hydrophilic protein ChuV [Chu (VF0227)] [Escherichia coli CFT073],
FSBL2240_hybracter.fasta,chromosome00001,239562,240554,-,chuU,1-993/993,===============,0/0,100,99.5,vfdb,NP_756179,(chuU) heme permease protein ChuU [Chu (VF0227)] [Escherichia coli CFT073],
FSBL2240_hybracter.fasta,chromosome00001,240603,241226,-,chuY,1-624/624,===============,0/0,100,98.4,vfdb,NP_756178,(chuY) ChuY [Chu (VF0227)] [Escherichia coli CFT073],
FSBL2240_hybracter.fasta,chromosome00001,241226,241720,-,chuX,1-495/495,===============,0/0,100,100,vfdb,NP_756177,(chuX) putative heme-binding protein ChuX [Chu (VF0227)] [Escherichia coli CFT073],
FSBL2240_hybracter.fasta,chromosome00001,241733,243070,-,chuW,1-1338/1338,===============,0/0,100,99.1,vfdb,NP_756176,(chuW) Putative oxygen independent coproporphyrinogen III oxidase [Chu (VF0227)] [Escherichia coli CFT073],
FSBL2240_hybracter.fasta,chromosome00001,243090,244082,-,chuT,1-993/993,===============,0/0,100,99.7,vfdb,NP_756175,(chuT) periplasmic heme-binding protein ChuT [Chu (VF0227)] [Escherichia coli CFT073],
FSBL2240_hybracter.fasta,chromosome00001,244724,246670,+,chuA,1-1947/1947,===============,0/0,100,99.69,vfdb,NP_756170,(chuA) Outer membrane heme/hemoglobin receptor ChuA [Chu (VF0227)] [Escherichia coli CFT073],
FSBL2240_hybracter.fasta,chromosome00001,246719,247747,+,chuS,1-1029/1029,===============,0/0,100,99.51,vfdb,NP_756169,(chuS) heme oxygenase ChuS [Chu (VF0227)] [Escherichia coli CFT073],
FSBL2240_hybracter.fasta,chromosome00001,796472,797302,+,gspC,1-831/831,===============,0/0,100,93.86,vfdb,YP_404599,(gspC) general secretion pathway protein C [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL2240_hybracter.fasta,chromosome00001,797542,799392,+,gspD,1-1836/1836,========/======,Jan-15,100,96.06,vfdb,YP_404600,(gspD) general secretion pathway protein D [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL2240_hybracter.fasta,chromosome00001,799392,800885,+,gspE,1-1494/1494,===============,0/0,100,94.91,vfdb,YP_404601,(gspE) general secretion pathway protein E [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL2240_hybracter.fasta,chromosome00001,800885,802084,+,gspF,1-1200/1200,===============,0/0,100,94.17,vfdb,YP_404602,(gspF) general secretion pathway protein F [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL2240_hybracter.fasta,chromosome00001,802125,802580,+,gspG,1-456/456,===============,0/0,100,96.05,vfdb,YP_404603,(gspG) general secretion pathway protein G [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL2240_hybracter.fasta,chromosome00001,802617,803147,+,gspH,1-531/531,===============,0/0,100,94.73,vfdb,YP_404604,(gspH) general secretion pathway protein H [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL2240_hybracter.fasta,chromosome00001,803144,803515,+,gspI,1-372/372,===============,0/0,100,92.2,vfdb,YP_404605,(gspI) general secretion pathway protein I [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL2240_hybracter.fasta,chromosome00001,803548,804117,+,gspJ,1-570/570,===============,0/0,100,94.39,vfdb,YP_404606,(gspJ) general secretion pathway protein J [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL2240_hybracter.fasta,chromosome00001,804114,805091,+,gspK,1-978/978,===============,0/0,100,96.63,vfdb,YP_404607,(gspK) general secretion pathway protein K [T2SS (VF0333)] [Shigella dysenteriae Sd197],
